,DSI,link,title
115,DSI-115,https://www.nbcnews.com/politics/first-read/trump-returns-immigration-playbook-n862296?cid=public-rss_20180404,Trump returns to the immigration playbook
116,DSI-116,https://www.nbcnews.com/politics/politics-news/trump-says-caravans-immigrants-are-headed-u-s-what-s-n862136?cid=public-rss_20180404,Trump says 'caravans' of immigrants are headed for the U.S. What's he talking about?
117,DSI-117,https://www.nbcnews.com/politics/immigration/justice-department-imposes-quotas-immigration-judges-n862271?cid=public-rss_20180404,Justice Department imposes quotas on immigration judges
118,DSI-118,https://www.nbcnews.com/politics/white-house/white-house-hosts-annual-easter-egg-roll-n862076?cid=public-rss_20180404,Trump kicks off White House annual Easter Egg Roll
119,DSI-119,https://www.nbcnews.com/politics/donald-trump/tv-anchors-decrying-fake-news-put-spotlight-sinclair-broadcast-company-n862016?cid=public-rss_20180404,"TV anchors decrying ""fake"" news put spotlight on Sinclair"
120,DSI-120,https://www.nbcnews.com/politics/donald-trump/trump-s-telephone-diplomacy-sends-wrong-message-putin-n862161?cid=public-rss_20180404,Trump's telephone diplomacy sends the wrong message to Putin
121,DSI-121,https://www.nbcnews.com/politics/congress/u-s-rep-elizabeth-esty-seeks-probe-her-handling-accused-n862121?cid=public-rss_20180404,"Rep. Elizabeth Esty, under fire for her handling of accused sex harasser, won't seek re-election"
122,DSI-122,https://www.nbcnews.com/politics/white-house/third-woman-sues-void-non-disclosure-agreement-linked-trump-n862086?cid=public-rss_20180404,Trump campaign staffer Jessica Denson sues to void nondisclosure agreement
123,DSI-123,https://www.nbcnews.com/politics/politics-news/possible-trump-putin-meeting-could-take-place-white-house-n861966?cid=public-rss_20180404,Possible Trump-Putin meeting could take place at the White House
124,DSI-124,https://www.nbcnews.com/politics/supreme-court/supreme-court-won-t-hear-case-involving-american-victims-palestinian-n862036?cid=public-rss_20180404,Supreme Court won't hear case involving American victims of Palestinian terror
125,DSI-125,https://www.nbcnews.com/politics/donald-trump/trump-resumes-daca-blame-game-says-our-country-being-stolen-n861951?cid=public-rss_20180404,"Trump resumes DACA blame game, says 'our country is being stolen'"
126,DSI-126,https://www.nbcnews.com/politics/white-house/are-you-citizen-here-s-what-happens-if-you-lie-n861841?cid=public-rss_20180404,Are you a citizen? Here's what happens if you lie on the census.
127,DSI-127,https://www.nbcnews.com/politics/politics-news/easter-sunday-trump-threatens-end-daca-stop-nafta-n861826?cid=public-rss_20180404,"On Easter Sunday, Trump threatens to end DACA and 'stop' NAFTA"
