,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25,DSI-26,DSI-27,DSI-28,DSI-29,DSI-30,DSI-31,DSI-32,DSI-33,DSI-34,DSI-35,DSI-36,DSI-37,DSI-38,DSI-39,DSI-40,DSI-41,DSI-42,DSI-43,DSI-44,DSI-45,DSI-46,DSI-47,DSI-48,DSI-49,DSI-50,DSI-51,DSI-52,DSI-53,DSI-54,DSI-55,DSI-56
robertMueller,34,russiaElectionInterference,8,0.0069901315789473685,0.8527848686805478,0.005961078440612382,1.0,,,,,,0.0027397260273972603,0.01174496644295302,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002369668246445498,0.14,,,,,0.01904761904761905,,,,,,,,0.20588235294117646,,,0.2,,,
white house,34,trumpStaff,13,0.0069901315789473685,0.6419315033656546,0.004487185673197422,1.0,0.008064516129032258,,,,,0.038356164383561646,0.003355704697986577,,0.05405405405405406,0.010309278350515464,,,,,,,0.01773049645390071,0.018867924528301886,,,,,,,,,0.03389830508474576,,,,,,,0.014492753623188406,,,0.002369668246445498,,0.05263157894736842,,,0.010752688172043012,,,,,,,,,,,,,0.0136986301369863,,
government,33,government,20,0.006784539473684211,0.4548448600085102,0.0030859129071301064,1.0,0.016129032258064516,,0.019230769230769232,0.02,0.01282051282051282,0.0027397260273972603,0.008389261744966443,0.03076923076923077,,0.010309278350515464,,,,,0.009900990099009901,,0.0035460992907801418,0.018867924528301886,,,,,,0.01694915254237288,,,,0.05084745762711865,,,,,,0.014492753623188406,,,0.004739336492890996,,,,,,,,0.0784313725490196,0.015384615384615385,,0.02040816326530612,,,,,0.009009009009009009,,,0.023809523809523808,
daca,31,immigration,5,0.006373355263157895,1.0569048513364727,0.00673603009692242,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06779661016949153,,,,,,,,,0.002369668246445498,,,,,0.21505376344086022,,0.05747126436781609,,,,,,,,,,,,,0.012195121951219513
congress,31,government,14,0.006373355263157895,0.6097468199942534,0.003886133104404164,1.0,0.016129032258064516,0.02857142857142857,,,,,0.003355704697986577,0.03076923076923077,,0.010309278350515464,,,0.031914893617021274,,0.019801980198019802,,0.014184397163120567,,,,,,,0.05084745762711865,,,,,,,,,,,,0.075,0.011848341232227487,,,,,,0.009523809523809525,0.011494252873563218,,,,,,,,,,,,,0.012195121951219513
trumpAdministration,29,trumpStaff,15,0.005962171052631579,0.5797835966168101,0.0034567689765393696,1.0,,,,0.02,,0.0136986301369863,,0.015384615384615385,,,,,,,0.019801980198019802,,,,,,0.05,,,,0.041666666666666664,0.03333333333333333,,0.03389830508474576,,,,,,0.014492753623188406,,,,,0.05263157894736842,,,0.06451612903225806,,,0.0196078431372549,0.015384615384615385,0.03225806451612903,,,,,,0.009009009009009009,,,,
specialCounsel,26,russiaElectionInterference,9,0.005345394736842105,0.8016323462331665,0.004285041324437157,1.0,0.008064516129032258,,,,,,0.003355704697986577,,0.05405405405405406,,,0.019230769230769232,0.0851063829787234,,,,,,,,,,,,,,,,,,,,,,,,0.0071090047393364926,0.04,,,,,0.05714285714285714,,,,,,,,,,,0.025,,,
USMilitary,24,war,7,0.004934210526315789,0.9107768156582345,0.004493964550945236,1.0,,0.02857142857142857,,,,,,,,,,,,0.018518518518518517,,,,,,,,,,,,,,,,,,,,,0.011235955056179775,,,,,,,,0.009523809523809525,,,0.03076923076923077,,,,,,0.15217391304347827,,,,,0.04878048780487805
campaign,24,election,12,0.004934210526315789,0.6766936096248666,0.003338948731701644,1.0,0.008064516129032258,,0.009615384615384616,,0.01282051282051282,0.005479452054794521,0.006711409395973154,,,0.010309278350515464,,,,,,,,,,,,,,,,,,,0.09230769230769231,,,,,,,,0.004739336492890996,,,,,,0.01904761904761905,,0.0196078431372549,,,,,,,,,0.025,0.0273972602739726,,
justiceDepartment,22,judicial,8,0.004523026315789474,0.8527848686805478,0.0038571684027491884,1.0,0.016129032258064516,,,,,0.00821917808219178,0.003355704697986577,,,0.030927835051546393,,,0.0425531914893617,,,,0.0035460992907801418,,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,0.05714285714285714,,,,,,,,,,,,,,
nathanielOaks,22,violenceCrime,1,0.004523026315789474,1.7558748556724915,0.007941868179439723,1.0,,,,,,,,,,,,,,,,,,,,0.21153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
associated press,22,media,20,0.004523026315789474,0.4548448600085102,0.0020572752714200708,1.0,,,0.009615384615384616,,,0.005479452054794521,,,,,0.030303030303030304,,,0.018518518518518517,,0.034482758620689655,,,,,,,0.02,0.03389830508474576,,,,,,0.012987012987012988,,,,,,,0.002369668246445498,,0.02631578947368421,,0.043478260869565216,0.010752688172043012,0.009523809523809525,0.011494252873563218,0.0196078431372549,,,,0.02040816326530612,0.017857142857142856,,0.010869565217391304,0.009009009009009009,,,0.023809523809523808,
china,22,china,3,0.004523026315789474,1.2787536009528289,0.0057838361885201965,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,,,,,0.11290322580645161,,,,,,0.12612612612612611,,,,
elizabethEsty,22,democrat,3,0.004523026315789474,1.2787536009528289,0.0057838361885201965,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.1694915254237288,,,,,,,,,,,,,0.004739336492890996,,,0.19230769230769232,,,,,,,,,,,,,,,,,
wall,21,immigration,7,0.004317434210526316,0.9107768156582345,0.003932218982077082,1.0,,0.11428571428571428,,,,,,,,,,0.019230769230769232,,,0.06930693069306931,,,,,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,0.0196078431372549,,,,,,,0.021739130434782608,,,,,0.06097560975609756
russia,21,russiaElectionInterference,8,0.004317434210526316,0.8527848686805478,0.003681842566260589,1.0,0.03225806451612903,,,,,0.0027397260273972603,,,,0.010309278350515464,,,,0.018518518518518517,,,,,,,,0.18181818181818182,,,,,,,,,,,,,,,0.004739336492890996,0.04,,,,,,,,0.06153846153846154,,,,,,,,,,,
gop,21,republican,5,0.004317434210526316,1.0569048513364727,0.004563117162431318,1.0,0.016129032258064516,,,,,,0.01174496644295302,,,,,,,,,,0.01773049645390071,,,,,,,,,,,,,,,,,,,,0.011848341232227487,,,,,,,,,,,,,,,,,,0.0273972602739726,,
court,21,judicial,11,0.004317434210526316,0.7144821705142663,0.0030847297657893903,1.0,,,,,,,0.010067114093959731,0.046153846153846156,,,,,,,,,0.010638297872340425,,,0.009615384615384616,,,,,,,,0.01694915254237288,,0.025974025974025976,,,,,,,,0.02,0.02631578947368421,,,0.010752688172043012,,,,,,,,,,,0.009009009009009009,,,0.023809523809523808,
northKorea,20,northSouthKorea,6,0.004111842105263158,0.9777236052888477,0.0040202450875363805,1.0,,,,,,0.0027397260273972603,,,,,,,,,0.039603960396039604,,,,,,,,,,,,,,,,,0.1724137931034483,,,,,0.004739336492890996,,,,,,,,,0.06153846153846154,0.06451612903225806,,,,,,,,,,
law,20,judicial,13,0.004111842105263158,0.6419315033656546,0.002639520984233777,1.0,,,,,,,0.003355704697986577,0.015384615384615385,,,,,0.010638297872340425,,,,0.0070921985815602835,,,,,,,,,,,,,0.03896103896103896,,,,,,,0.002369668246445498,,0.02631578947368421,,,0.021505376344086023,,0.011494252873563218,,,,0.04081632653061224,,,,0.010869565217391304,0.009009009009009009,,,,0.024390243902439025
judge,20,judicial,7,0.004111842105263158,0.9107768156582345,0.00374497045912103,1.0,,,,,,,0.0016778523489932886,0.07692307692307693,,,,,,,,,0.0035460992907801418,,,0.019230769230769232,,,,,,,,0.05084745762711865,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,0.023809523809523808,
lawmaker,19,government,12,0.00390625,0.6766936096248666,0.002643334412597135,1.0,,,,,,,0.0016778523489932886,,,0.010309278350515464,,,0.031914893617021274,0.018518518518518517,,,,,,0.019230769230769232,,,0.08,0.03389830508474576,,,,,,,,,0.021739130434782608,,,,,,,,,0.010752688172043012,0.009523809523809525,,,,,,,0.017857142857142856,,,,,,,0.012195121951219513
mexico,19,foreignNation,5,0.00390625,1.0569048513364727,0.0041285345755330966,1.0,,,,,,0.0027397260273972603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12643678160919541,0.0196078431372549,,,,,,,0.021739130434782608,,,,,0.04878048780487805
trump campaign,18,election,9,0.003700657894736842,0.8016323462331665,0.002966567070764185,1.0,0.056451612903225805,,,,,0.005479452054794521,0.0016778523489932886,,,,,,,,,,,0.018867924528301886,,,,,,,,,,,0.015384615384615385,,,,,,,,0.0071090047393364926,0.02,,,,,0.009523809523809525,,,,,,,,,,,,,0.023809523809523808,
johnKelly,17,trumpStaff,7,0.0034950657894736842,0.9107768156582345,0.003183224890252876,1.0,,,,,,0.021917808219178082,,,,,0.030303030303030304,,,,,,,,,,,,,0.05084745762711865,,,,,,,,,,,,0.025,0.004739336492890996,,,0.019230769230769232,,,,,,,,,,,,,,,,,0.012195121951219513
fisa,17,fbiMisconduct,3,0.0034950657894736842,1.2787536009528289,0.004469327963856516,1.0,,,,,,,0.008389261744966443,,,0.09278350515463918,,,0.031914893617021274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abortion,16,civilRights,2,0.003289473684210526,1.4548448600085102,0.004785673881606941,1.0,,,,,,,0.0016778523489932886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26785714285714285,,,,,,,
attorney,16,judicial,10,0.003289473684210526,0.7558748556724915,0.00248643044629109,1.0,,,,,,0.0027397260273972603,0.0016778523489932886,,,,,,0.010638297872340425,,,,,,,0.009615384615384616,,,,,,,,0.01694915254237288,,,,,,0.043478260869565216,,,0.002369668246445498,,,,,,0.009523809523809525,,,,,,,,,,,0.075,,0.07142857142857142,
ronnyJackson,16,trumpStaff,7,0.003289473684210526,0.9107768156582345,0.002995976367296824,1.0,,,0.038461538461538464,,0.01282051282051282,0.0027397260273972603,,,,,0.030303030303030304,,,0.07407407407407407,0.009900990099009901,,,,,,,,,,,,0.06779661016949153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaelHorowitz,16,fbiMisconduct,7,0.003289473684210526,0.9107768156582345,0.002995976367296824,1.0,,,,,,,0.003355704697986577,,,0.05154639175257732,,,0.02127659574468085,,,,,,0.03571428571428571,,,,,,,,,,,,,,0.021739130434782608,0.014492753623188406,,,,,,,,,0.0380952380952381,,,,,,,,,,,,,,
michaelFlynn,15,russiaElectionInterference,4,0.0030838815789473685,1.153814864344529,0.00355822840566775,1.0,,,,,,0.005479452054794521,0.003355704697986577,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,0.14492753623188406,,,,,,,,,,,,,,,,,,,,,,,
immigration,15,immigration,6,0.0030838815789473685,0.9777236052888477,0.0030151838156522856,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.08333333333333333,,,0.01694915254237288,,,,,,,,,,,,,,0.021505376344086023,,0.04597701149425287,0.058823529411764705,,,,,,,0.03260869565217391,,,,,
allegation,15,controversy,8,0.0030838815789473685,0.8527848686805478,0.002629887547328992,1.0,,,0.009615384615384616,,,0.0136986301369863,,0.015384615384615385,,0.020618556701030927,,,,,,,,,,,,,,0.03389830508474576,,,,,,,,,,,,0.025,0.002369668246445498,,,0.038461538461538464,,,,,,,,,,,,,,,,,
barackObama,15,formerPresident,8,0.0030838815789473685,0.8527848686805478,0.002629887547328992,1.0,,,,,0.01282051282051282,,0.0050335570469798654,,,,,,,0.018518518518518517,,,,0.03773584905660377,,,,,,,,,,,0.015384615384615385,,,,,,,,,,,,,0.021505376344086023,,,,,,,,,,0.043478260869565216,,,,,0.012195121951219513
nasimAghdam,15,terrorism,1,0.0030838815789473685,1.7558748556724915,0.005414910122345266,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30612244897959184,,,,,,,,
borderwall,15,immigration,7,0.0030838815789473685,0.9107768156582345,0.0028087278443407727,1.0,,0.11428571428571428,,,,,,,,,,,,,0.019801980198019802,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010752688172043012,,0.05747126436781609,0.0196078431372549,,,,,,,0.010869565217391304,,,,,0.012195121951219513
immigrant,14,immigration,6,0.0028782894736842104,0.9777236052888477,0.002814171561275466,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.041666666666666664,,,,,0.012987012987012988,,,,,,,,,,,,0.043010752688172046,,0.034482758620689655,0.0784313725490196,,,,,,,,,,,,0.012195121951219513
johnKasich,14,republican,1,0.0028782894736842104,1.7558748556724915,0.005053916114188915,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1917808219178082,,
firing,14,controversy,11,0.0028782894736842104,0.7144821705142663,0.00205648651052626,1.0,,,,,,0.005479452054794521,0.0016778523489932886,,,0.010309278350515464,,,,0.018518518518518517,,,,,0.03571428571428571,,,,,,,,0.01694915254237288,,,,,,0.06521739130434782,0.014492753623188406,,,,,0.02631578947368421,,,,0.009523809523809525,,,,0.016129032258064516,,,,,,,,,,
annaKain,14,civilRights,4,0.0028782894736842104,1.153814864344529,0.003321013178623233,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.05084745762711865,,,,,,,,,,,,0.125,0.0071090047393364926,,,0.057692307692307696,,,,,,,,,,,,,,,,,
elizabethWarren,14,democrat,1,0.0028782894736842104,1.7558748556724915,0.005053916114188915,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22580645161290322,,,,,,,,,,
jeffSessions,14,trumpStaff,11,0.0028782894736842104,0.7144821705142663,0.00205648651052626,1.0,,,,,,,0.003355704697986577,,,0.010309278350515464,,,0.010638297872340425,,,,0.0035460992907801418,,0.03571428571428571,,,,,,,,,,,,,,0.021739130434782608,0.028985507246376812,,,0.004739336492890996,,,,,,0.009523809523809525,,0.0196078431372549,,,,,,,,,,,,0.012195121951219513
justice,13,judicial,9,0.0026726973684210527,0.8016323462331665,0.0021425206622185783,1.0,,,,,,0.0027397260273972603,0.0050335570469798654,,,0.020618556701030927,,,0.02127659574468085,,,0.034482758620689655,0.0035460992907801418,,,0.009615384615384616,,,,,,,,,,,,,,,,,0.002369668246445498,,,,,,,,,,,,,,0.029411764705882353,,,,,,
healthcare,13,healthcare,6,0.0026726973684210527,0.9777236052888477,0.0026131593068986474,1.0,,,0.038461538461538464,,0.05128205128205128,0.0027397260273972603,0.0016778523489932886,,,,,,,,,,,,,,,,,,,,0.03389830508474576,,,,,,,,,,,,0.02631578947368421,,,,,,,,,,,,,,,,,,
thomasJefferson,12,foundingFather,1,0.0024671052631578946,1.7558748556724915,0.004331928097876212,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02843601895734597,,,,,,,,,,,,,,,,,,,,
jamesComey,12,russiaElectionInterference,3,0.0024671052631578946,1.2787536009528289,0.0031548197391928342,1.0,0.03225806451612903,,,,,0.019178082191780823,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021739130434782608,,,,,,,,,,,,,,,,,,,,,,,,
