,DSI,link,title
35,DSI-35,http://feeds.foxnews.com/~r/foxnews/politics/~3/gfTZk88-br0/democratic-lawmaker-asked-to-resign-over-reports-harassment-coverup.html,Democratic lawmaker asked to resign over reports of harassment 'coverup'
36,DSI-36,http://feeds.foxnews.com/~r/foxnews/politics/~3/kNKFs1VORiI/mr-jeffersons-wager.html,Mr. Jefferson's wager
37,DSI-37,http://feeds.foxnews.com/~r/foxnews/politics/~3/_2yPHwgmNbA/mueller-was-appointed-too-early-in-russia-investigation-senator-says.html,"Mueller was appointed too early in Russia investigation, senator says"
38,DSI-38,http://feeds.foxnews.com/~r/foxnews/politics/~3/ipKNpsAhYFA/white-house-goes-on-attack-over-ex-va-head-shulkins-claim-was-fired.html,White House goes on attack over ex-VA head Shulkin's claim he was fired
39,DSI-39,http://feeds.foxnews.com/~r/foxnews/politics/~3/P9U47xdBrW8/pressure-mounts-for-democratic-rep-esty-to-resign-over-violent-abuse-accusations-against-top-staffer.html,Pressure mounts for Democratic Rep. Esty to resign over violent abuse accusations against top staffer
40,DSI-40,http://feeds.foxnews.com/~r/foxnews/politics/~3/-lKgkEklH98/secret-service-investigates-red-paint-splashed-on-trump-international-golf-club-sign-in-florida.html,Secret Service investigates red paint splashed on Trump International Golf Club sign in Florida
41,DSI-41,http://feeds.foxnews.com/~r/foxnews/politics/~3/n2OL02masAE/what-is-daca-and-what-does-trump-administration-want-to-do-with-it.html,What is DACA and what does the Trump administration want to do with it?
42,DSI-42,http://feeds.foxnews.com/~r/foxnews/politics/~3/lVE_SyhU5hI/issa-thinks-special-counsel-ultimately-will-lead-fbi-justice-probe.html,Issa thinks special counsel ultimately will lead FBI-Justice probe
43,DSI-43,http://feeds.foxnews.com/~r/foxnews/politics/~3/xDfTsQyhedw/trump-declares-no-more-daca-deal-after-report-caravan-with-central-americans-heading-to-us.html,Trump declares 'NO MORE' DACA deal after report of caravan with Central Americans heading to US
44,DSI-44,http://feeds.foxnews.com/~r/foxnews/politics/~3/w9AbphUKf8w/california-rep-sherman-defends-hysteria-over-citizenship-census-question.html,"California Rep. Sherman defends 'hysteria' over citizenship, census question"
45,DSI-45,http://feeds.foxnews.com/~r/foxnews/politics/~3/HraPIbx6E5o/graham-lauds-trump-on-north-korea-but-says-russia-running-wild.html,"Graham lauds Trump on North Korea, but says Russia 'running wild'"
46,DSI-46,http://feeds.foxnews.com/~r/foxnews/politics/~3/4Ve0WDDH1K8/trump-administration-chaos-harming-asia-policy-warren-says.html,"Trump administration 'chaos' harming Asia policy, Warren says"
47,DSI-47,http://feeds.foxnews.com/~r/foxnews/politics/~3/UvXanBhgjW8/texas-voter-registration-policy-violates-federal-law-judge-says.html,"Texas voter registration policy violates federal law, judge says"
48,DSI-48,http://feeds.foxnews.com/~r/foxnews/politics/~3/oXD9wK23qnw/youtube-shooter-id-d-as-woman-with-apparent-vendetta-against-company.html,YouTube shooter ID’d as woman with apparent vendetta against company
49,DSI-49,http://feeds.foxnews.com/~r/foxnews/politics/~3/d0zKVjs2Dq4/death-penalty-for-women-having-abortions-no-candidate-clarifies.html,"Death penalty for women having abortions? No, candidate clarifies"
50,DSI-50,http://feeds.foxnews.com/~r/foxnews/politics/~3/iHur5Rv6c0I/trump-faces-major-legal-perils-despite-not-being-target-russia-probe-experts-say.html,"Trump faces major legal perils despite not being 'target' of Russia probe, experts say"
51,DSI-51,http://feeds.foxnews.com/~r/foxnews/politics/~3/5TAu97EBUlI/trump-would-not-be-first-president-to-send-national-guard-soldiers-to-us-mexico-border.html,Trump would not be first president to send National Guard soldiers to US-Mexico border
52,DSI-52,http://feeds.foxnews.com/~r/foxnews/politics/~3/-iRRn-YTLE8/us-proposes-extra-tariffs-on-50b-in-chinese-products-to-protest-tech-theft.html,US proposes extra tariffs on $50B in Chinese products to protest tech theft
53,DSI-53,http://feeds.foxnews.com/~r/foxnews/politics/~3/eQHSvFyb7Wo/mueller-claims-trump-is-not-criminal-target-in-his-investigation-report-says.html,"Mueller claims Trump is not criminal target in his investigation, report says"
54,DSI-54,http://feeds.foxnews.com/~r/foxnews/politics/~3/4B51AWzD27Q/john-kasich-in-new-hampshire-hints-at-trump-2020-challenge-all-my-options-are-on-table.html,"John Kasich, in New Hampshire, hints at Trump 2020 challenge: 'All my options are on the table'"
55,DSI-55,http://feeds.foxnews.com/~r/foxnews/politics/~3/W1hcyrKW7Fs/stormy-daniels-lawyer-requests-suspicious-bank-information-linked-to-hush-payment.html,Stormy Daniels' lawyer requests 'suspicious' bank information linked to 'hush' payment
56,DSI-56,http://feeds.foxnews.com/~r/foxnews/politics/~3/TyoLjnNZHP8/trump-says-military-will-secure-southern-border-until-wall-can-be-built.html,Trump says the military will secure the southern border until wall can be built
