,t_count,concept,d_count,tf,idf,tf_idf,weight,DSI-0,DSI-1,DSI-2,DSI-3,DSI-4,DSI-5,DSI-6,DSI-7,DSI-8,DSI-9,DSI-10,DSI-11,DSI-12,DSI-13,DSI-14,DSI-15,DSI-16,DSI-17,DSI-18,DSI-19,DSI-20,DSI-21,DSI-22,DSI-23,DSI-24,DSI-25
wall,4,immigration,3,0.002007024586051179,0.9378520932511555,0.001882292209234632,1.0,,,,,0.004830917874396135,,,,,,,,,,,,,,,,,,0.01639344262295082,0.023809523809523808,,
sanction,3,foreignTrade,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,0.011235955056179775,,,,,,,,,,,,,,,,,,,,,,,,
reincePriebus,3,trumpStaff,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,,,,,,,,,,,0.05084745762711865,,,,,,,
borderwall,3,immigration,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,,
energy,3,energy,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,,,,0.004830917874396135,,,,,0.022222222222222223,,,,,,,,0.016666666666666666,,,,,,,,
fisa,3,fbiMisconduct,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,,,,,,,,,0.01020408163265306,,,,,,,0.029850746268656716,,,,,
philBredesen,3,democrat,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,0.011235955056179775,,,,,,,,,,,,,,,,,,,,,,,,
metoo,3,civilRights,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,,,,0.030927835051546393,,,,,,,,,,,,,,
donation,3,election,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,,,,0.004830917874396135,,,,,0.022222222222222223,,,,,,,,0.016666666666666666,,,,,,,,
inspector general,3,judicial,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,,,,,,,,,,0.017241379310344827,,,,,,0.014925373134328358,,,,,
ceo,3,economy,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,0.003745318352059925,,,0.004830917874396135,,0.027777777777777776,,,,,,,,,,,,,,,,,,,
nancyPelosi,3,democrat,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,,,,,0.022222222222222223,,,,,,,0.06896551724137931,,,,,,,,,
keishaLanceBottoms,3,democrat,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,,,,,0.02702702702702703,0.027777777777777776,,,,,,0.020833333333333332,,,,,,,,,,,,,
pennsylvania supreme court,3,judicial,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,0.10714285714285714,,,,,,,,,,,,,,,,,
marcoRubio,3,republican,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,,,0.012987012987012988,0.004830917874396135,,,,,,,,,,,,,,,,,,,,,0.009009009009009009
mikePompeo,3,trumpStaff,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,0.03896103896103896,,,,,,,,,,,,,,,,,,,,,,
superpac,3,election,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,0.046153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,
ninthcircuit,3,judicial,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,,,,,,,,,,,,0.09375,,,,,,
migrant,3,immigration,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.03571428571428571,,
attorney general,3,judicial,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,0.003745318352059925,,,,,0.027777777777777776,,,,,,,,,,,,,,0.014925373134328358,,,,,
prosecutor,3,judicial,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,,,,,,,,,,,,,0.04477611940298507,,,,,
milwaukee,3,unitedStates,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,0.02702702702702703,,,,,,,,,,,,,,,,0.018691588785046728,,,,
indiana,3,unitedStates,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,,,,,,0.06666666666666667,,,,,,,,,,,,,,,,
vladimirPutin,3,foreignLeader,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,0.011235955056179775,,,,,,,,,,,,,,,,,,,,,,,,
fundraising,3,election,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,,,,,0.022222222222222223,,,,,,,,0.03333333333333333,,,,,,,,
allegation,3,controversy,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,,,,,,,,,,,,0.06896551724137931,,,,0.014925373134328358,,,,,
house race,3,election,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,0.011235955056179775,,,,,,,,,,,,,,,,,,,,,,,,
gun,3,guns,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,,0.014492753623188406,,,,,,,,,,,,,,,,,,,,,
attorney,3,judicial,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,,,,,,,,,,,,0.020833333333333332,0.01020408163265306,,0.02564102564102564,,,,,,,,,,
bushAdministration,3,government,1,0.0015052684395383843,1.414973347970818,0.0021299147234884364,1.0,,,,0.03896103896103896,,,,,,,,,,,,,,,,,,,,,,
sarahIsgurFlores,3,judicial,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,,,,,,,,,,0.008620689655172414,,,,,,0.029850746268656716,,,,,
school,3,education,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,0.012987012987012988,0.00966183574879227,,,,,,,,,,,,,,,,,,,,,
justice,3,judicial,3,0.0015052684395383843,0.9378520932511555,0.001411719156925974,1.0,,,,,,0.02702702702702703,,,,,0.037037037037037035,,,,,,,,,0.03125,,,,,,
data,3,privacy,2,0.0015052684395383843,1.1139433523068367,0.0016767837716610689,1.0,,,,,,,,,,,,,,,,,,,,,,,0.03278688524590164,,0.010101010101010102,
