,DSI,link,title
40,DSI-40,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/he-hizdEps4/index.html,Andrew McCabe legal defense fund site created
41,DSI-41,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/ZUVbSrKCheQ/index.html,"Shulkin blasts 'toxic, chaotic, disrespectful' Washington in farewell op-ed"
42,DSI-42,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/7IOhOQ44ZIM/index.html,CNN poll: Most Americans think Trump will lose in 2020
43,DSI-43,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/RAIIMdBhm3w/index.html,Kellyanne Conway's husband deletes tweets critical of Trump
44,DSI-44,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/LN53EFRprAA/index.html,Trump being told he doesn't need a communications director or chief of staff
45,DSI-45,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/xrXrqQ-n7QQ/index.html,Trump gives rally-like speech in Ohio
46,DSI-46,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/StR6ij4oQCc/index.html,Trump's silence on Stormy says a lot. But not about him.
47,DSI-47,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/QAp3elkkto0/index.html,Trump touts Roseanne Barr's ratings after successful series premiere
48,DSI-48,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/3GhS_iqusTk/index.html,"Trump and GOP see their popularity rise, but averaging shows it's not bigly"
49,DSI-49,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/SLJBUWB5GS8/index.html,Trump kids jab Jeb after Bush says his children 'actually love me'
50,DSI-50,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/4oSBLQtSkyI/index.html,Documents reveal Ivanka Trump followed ethics advice in promoting her book
51,DSI-51,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/NjVRpsba6sg/index.html,David Shulkin wishes Ronny Jackson well as VA chief
52,DSI-52,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/Dz-GnpauVi8/2uwmvVP,Amal Clooney to represent Reuters journalists jailed in Myanmar
53,DSI-53,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/_Lic0TyBoZE/2E2RIzv,Fox News host Laura Ingraham apologizes for mocking David Hogg
54,DSI-54,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/vh6pN03D-Ik/index.html,How Trump is quietly rewriting US immigration policy
55,DSI-55,http://rss.cnn.com/~r/rss/cnn_allpolitics/~3/qDw7ibzWNXM/index.html,He's 13 and he's running to be the next governor of Vermont
